title,author,genre,description
The Hobbit,J.R.R. Tolkien,Fantasy,"A hobbit's unexpected journey to reclaim a dwarf kingdom from a dragon."
1984,George Orwell,Dystopian Fiction,"A chilling portrayal of a totalitarian future society."
To Kill a Mockingbird,Harper Lee,Literary Fiction,"A powerful exploration of racial injustice in the American South."
The Da Vinci Code,Dan Brown,Thriller,"A fast-paced mystery involving symbolism and conspiracy theories."
Pride and Prejudice,Jane Austen,Romance,"A classic tale of love and misunderstanding in Georgian England."
The Hunger Games,Suzanne Collins,Young Adult,"In a dystopian future, teenagers must fight to the death on live TV."
The Catcher in the Rye,J.D. Salinger,Coming-of-age Fiction,"A teenager's angst-ridden journey through New York City."
The Girl with the Dragon Tattoo,Stieg Larsson,Crime Fiction,"A journalist and hacker investigate a wealthy family's dark secrets."
The Alchemist,Paulo Coelho,Philosophical Fiction,"A shepherd's journey to find his personal legend and life's purpose."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"A young wizard's first year at a school of magic and mystery."
