title,developer,genre,description
The Legend of Zelda: Breath of the Wild,Nintendo,Action-Adventure,"An open-world adventure game set in a vast, breathtaking landscape."
Red Dead Redemption 2,Rockstar Games,Action-Adventure,"An epic tale of life in America's unforgiving heartland in the Wild West era."
Minecraft,Mojang,Sandbox,"A game about placing blocks and going on adventures in a procedurally generated world."
The Witcher 3: Wild Hunt,CD Projekt Red,Action RPG,"An open-world RPG set in a dark fantasy universe filled with meaningful choices and consequences."
Grand Theft Auto V,Rockstar Games,Action-Adventure,"A sprawling tale of crime and chaos in a satirical take on modern Southern California."
Portal 2,Valve,Puzzle-Platform,"A mind-bending journey through a series of scientific puzzles using a portal gun."
Super Mario Odyssey,Nintendo,Platformer,"A globe-trotting 3D adventure where Mario uses his new abilities to collect Moons and save Princess Peach."
Overwatch,Blizzard Entertainment,First-Person Shooter,"A team-based multiplayer shooter featuring a diverse cast of heroes with unique abilities."
Stardew Valley,ConcernedApe,Simulation RPG,"A farming simulation RPG where you inherit your grandfather's old farm plot and start a new life."
God of War,Santa Monica Studio,Action-Adventure,"A father and son journey through the realms of Norse mythology, battling gods and monsters."
